GEOID,GEOID For County,CensusTract,County
36081044000,36081,Census Tract 440,Queens
36081044301,36081,Census Tract 443.01,Queens
36005044902,36005,Census Tract 449.02,Bronx
36005045102,36005,Census Tract 451.02,Bronx
36005004600,36005,Census Tract 46,Bronx
36055004602,36055,Census Tract 46.02,Monroe
36081046800,36081,Census Tract 468,Queens
36055004702,36055,Census Tract 47.02,Monroe
36081047000,36081,Census Tract 470,Queens
36055004800,36055,Census Tract 48,Monroe
36047048900,36047,Census Tract 489,Kings
36055004900,36055,Census Tract 49,Monroe
36089490100,36089,Census Tract 4901,St. Lawrence
36089490600,36089,Census Tract 4906,St. Lawrence
36089491300,36089,Census Tract 4913,St. Lawrence
36089491700,36089,Census Tract 4917,St. Lawrence
36089491800,36089,Census Tract 4918,St. Lawrence
36089492300,36089,Census Tract 4923,St. Lawrence
36089492400,36089,Census Tract 4924,St. Lawrence
36089492800,36089,Census Tract 4928,St. Lawrence
36089492900,36089,Census Tract 4929,St. Lawrence
36119000500,36119,Census Tract 5,Westchester
36071000502,36071,Census Tract 5.02,Orange
36055005000,36055,Census Tract 50,Monroe
36005005001,36005,Census Tract 50.01,Bronx
36005005002,36005,Census Tract 50.02,Bronx
36081050400,36081,Census Tract 504,Queens
36081050600,36081,Census Tract 506,Queens
36067005100,36067,Census Tract 51,Onondaga
36081051600,36081,Census Tract 516,Queens
36005051600,36005,Census Tract 516,Bronx
36083051701,36083,Census Tract 517.01,Rensselaer
36083051702,36083,Census Tract 517.02,Rensselaer
36081051800,36081,Census Tract 518,Queens
36083051800,36083,Census Tract 518,Rensselaer
36055005200,36055,Census Tract 52,Monroe
36067005200,36067,Census Tract 52,Onondaga
36081052000,36081,Census Tract 520,Queens
36083052102,36083,Census Tract 521.02,Rensselaer
36083052103,36083,Census Tract 521.03,Rensselaer
36083052603,36083,Census Tract 526.03,Rensselaer
36005005300,36005,Census Tract 53,Bronx
36081053601,36081,Census Tract 536.01,Queens
36067005400,36067,Census Tract 54,Onondaga
36005005400,36005,Census Tract 54,Bronx
36067005500,36067,Census Tract 55,Onondaga
36081055600,36081,Census Tract 556,Queens
36081055800,36081,Census Tract 558,Queens
36005005600,36005,Census Tract 56,Bronx
36081056400,36081,Census Tract 564,Queens
36029005700,36029,Census Tract 57,Erie
36067005700,36067,Census Tract 57,Onondaga
36067005800,36067,Census Tract 58,Onondaga
36029005801,36029,Census Tract 58.01,Erie
36029005900,36029,Census Tract 59,Erie
36081059000,36081,Census Tract 590,Queens
36077590300,36077,Census Tract 5903,Otsego
36077590400,36077,Census Tract 5904,Otsego
36077590500,36077,Census Tract 5905,Otsego
36077591500,36077,Census Tract 5915,Otsego
36077591600,36077,Census Tract 5916,Otsego
36081059200,36081,Census Tract 592,Queens
36081059400,36081,Census Tract 594,Queens
36061000600,36061,Census Tract 6,New York
36067000600,36067,Census Tract 6,Onondaga
36067006000,36067,Census Tract 60,Onondaga
36045060100,36045,Census Tract 601,Jefferson
36045060300,36045,Census Tract 603,Jefferson
36091060300,36091,Census Tract 603,Saratoga
36091060501,36091,Census Tract 605.01,Saratoga
36091060502,36091,Census Tract 605.02,Saratoga
36091060601,36091,Census Tract 606.01,Saratoga
36045060700,36045,Census Tract 607,Jefferson
36067006101,36067,Census Tract 61.01,Onondaga
36081061000,36081,Census Tract 610,Queens
36081061200,36081,Census Tract 612,Queens
36081061400,36081,Census Tract 614,Queens
36045061400,36045,Census Tract 614,Jefferson
36081061601,36081,Census Tract 616.01,Queens
36081061602,36081,Census Tract 616.02,Queens
36045061700,36045,Census Tract 617,Jefferson
36055006200,36055,Census Tract 62,Monroe
36005006200,36005,Census Tract 62,Bronx
36081062000,36081,Census Tract 620,Queens
36081062200,36081,Census Tract 622,Queens
36081063800,36081,Census Tract 638,Queens
36005006400,36005,Census Tract 64,Bronx
36081064101,36081,Census Tract 641.01,Queens
36081064600,36081,Census Tract 646,Queens
36081066000,36081,Census Tract 660,Queens
36055006700,36055,Census Tract 67,Monroe
36005006800,36005,Census Tract 68,Bronx
36081068000,36081,Census Tract 680,Queens
36081069400,36081,Census Tract 694,Queens
36085000700,36085,Census Tract 7,Richmond
36001000700,36001,Census Tract 7,Albany
36055000700,36055,Census Tract 7,Monroe
36027070101,36027,Census Tract 701.01,Dutchess
36027070301,36027,Census Tract 703.01,Dutchess
36057070800,36057,Census Tract 708,Montgomery
36047007100,36047,Census Tract 71,Kings
36113071000,36113,Census Tract 710,Warren
36113072000,36113,Census Tract 720,Warren
36047072200,36047,Census Tract 722,Kings
36057072300,36057,Census Tract 723,Montgomery
36113073500,36113,Census Tract 735,Warren
36005007400,36005,Census Tract 74,Bronx
36113074000,36113,Census Tract 740,Warren
36095740600,36095,Census Tract 7406,Schoharie
36095740700,36095,Census Tract 7407,Schoharie
36095740800,36095,Census Tract 7408,Schoharie
36055007500,36055,Census Tract 75,Monroe
36113075000,36113,Census Tract 750,Warren
36113076000,36113,Census Tract 760,Warren
36055007801,36055,Census Tract 78.01,Monroe
36047078000,36047,Census Tract 780,Kings
36047078400,36047,Census Tract 784,Kings
36081078800,36081,Census Tract 788,Queens
36081079000,36081,Census Tract 790,Queens
36067000800,36067,Census Tract 8,Onondaga
36119000802,36119,Census Tract 8.02,Westchester
36055008000,36055,Census Tract 80,Monroe
36039080900,36039,Census Tract 809,Greene
36085008100,36085,Census Tract 81,Richmond
36039081000,36039,Census Tract 810,Greene
36039081101,36039,Census Tract 811.01,Greene
36081081400,36081,Census Tract 814,Queens
36115082001,36115,Census Tract 820.01,Washington
36115082002,36115,Census Tract 820.02,Washington
36029008300,36029,Census Tract 83,Erie
36055008301,36055,Census Tract 83.01,Monroe
36047083200,36047,Census Tract 832,Kings
36047083800,36047,Census Tract 838,Kings
36005008400,36005,Census Tract 84,Bronx
36081084000,36081,Census Tract 840,Queens
36115084000,36115,Census Tract 840,Washington
36081084601,36081,Census Tract 846.01,Queens
36081084602,36081,Census Tract 846.02,Queens
36055008500,36055,Census Tract 85,Monroe
36047085000,36047,Census Tract 850,Kings
36005008600,36005,Census Tract 86,Bronx
36115086000,36115,Census Tract 860,Washington
36055008701,36055,Census Tract 87.01,Monroe
36055008702,36055,Census Tract 87.02,Monroe
36115087000,36115,Census Tract 870,Washington
36081008800,36081,Census Tract 88,Queens
36055008800,36055,Census Tract 88,Monroe
36115088000,36115,Census Tract 880,Washington
36047088600,36047,Census Tract 886,Kings
36047089400,36047,Census Tract 894,Kings
36047089600,36047,Census Tract 896,Kings
36021000900,36021,Census Tract 9,Columbia
36007000900,36007,Census Tract 9,Broome
36067000900,36067,Census Tract 9,Onondaga
36005009000,36005,Census Tract 90,Bronx
36047090200,36047,Census Tract 902,Kings
36047090800,36047,Census Tract 908,Kings
36047091000,36047,Census Tract 910,Kings
36047091200,36047,Census Tract 912,Kings
36047091600,36047,Census Tract 916,Kings
36055009200,36055,Census Tract 92,Monroe
36047092000,36047,Census Tract 920,Kings
36047092800,36047,Census Tract 928,Kings
36005009300,36005,Census Tract 93,Bronx
36047093200,36047,Census Tract 932,Kings
36047093800,36047,Census Tract 938,Kings
36009940000,36009,Census Tract 9400,Cattaraugus
36063940001,36063,Census Tract 9400.01,Niagara
36037940100,36037,Census Tract 9401,Genesee
36009940300,36009,Census Tract 9403,Cattaraugus
36081094203,36081,Census Tract 942.03,Queens
36047094401,36047,Census Tract 944.01,Kings
36055009500,36055,Census Tract 95,Monroe
36003950100,36003,Census Tract 9501,Allegany
36049950100,36049,Census Tract 9501,Lewis
36097950100,36097,Census Tract 9501,Schuyler
36099950100,36099,Census Tract 9501,Seneca
36049950200,36049,Census Tract 9502,Lewis
36037950200,36037,Census Tract 9502,Genesee
36097950200,36097,Census Tract 9502,Schuyler
36033950200,36033,Census Tract 9502,Franklin
36099950200,36099,Census Tract 9502,Seneca
36111950200,36111,Census Tract 9502,Ulster
36105950300,36105,Census Tract 9503,Sullivan
36037950300,36037,Census Tract 9503,Genesee
36097950300,36097,Census Tract 9503,Schuyler
36033950300,36033,Census Tract 9503,Franklin
36099950300,36099,Census Tract 9503,Seneca
36041950400,36041,Census Tract 9504,Hamilton
36003950400,36003,Census Tract 9504,Allegany
